小区名称,户型,面积(㎡),详情链接,成交日期,成交总价(万),成交单价(元/平),朝向,装修,楼层信息,建成年代,房屋结构,挂牌价(万),成交周期(天)
"星纪花苑","2室1厅","77.15","https://sh.ke.com/chengjiao/107108621935.html","2024.08.26","295","38238","南","简装","低楼层(共15层)","1996","塔楼","315","268"
"共康四村","2室1厅","62.53","https://sh.ke.com/chengjiao/107108938588.html","2024.08.25","205","32785","南","简装","高楼层(共6层)","1995","板楼","210","220"
"曲沃路79弄","1室1厅","55.89","https://sh.ke.com/chengjiao/107110507658.html","2024.08.25","232.4","41582","西 北","精装","低楼层(共6层)","1994","板楼","239","12"
"岭南路270弄","1室0厅","35.95","https://sh.ke.com/chengjiao/107109864443.html","2024.08.25","147.8","41113","南","简装","低楼层(共6层)","1984","板楼","160","86"
"临汾路1105弄","--室--厅","38.48","https://sh.ke.com/chengjiao/107110336920.html","2024.08.24","138","35863","南","精装","高楼层(共6层)","1987","板楼","150","30"
"阳景小区","1室1厅","36.4","https://sh.ke.com/chengjiao/107110107309.html","2024.08.24","144","39561","南","精装","中楼层(共6层)","1989","板楼","150","57"
"共康四村","1室1厅","37.04","https://sh.ke.com/chengjiao/107109929502.html","2024.08.23","145","39147","南","精装","中楼层(共6层)","1995","板楼","160","77"
"星纪花苑","2室1厅","65.74","https://sh.ke.com/chengjiao/107110530646.html","2024.08.21","310","47156","南","简装","高楼层(共6层)","1994","板楼","320","5"
"景凤小区","1室1厅","44.94","https://sh.ke.com/chengjiao/107110230745.html","2024.08.20","178","39609","南","简装","中楼层(共6层)","1996","板楼","185","38"
"阳曲小区","2室1厅","73.17","https://sh.ke.com/chengjiao/107109665762.html","2024.08.18","218.8","29903","西南 北","精装","低楼层(共14层)","1990","塔楼","248","105"
"保平小区","2室1厅","65.47","https://sh.ke.com/chengjiao/107110114536.html","2024.08.18","325","49642","南","简装","高楼层(共13层)","1993","塔楼","358","51"
"三泉家园","3室2厅","141.66","https://sh.ke.com/chengjiao/107108038156.html","2024.08.18","600","42355","南","精装","高楼层(共6层)","2002","板楼","636","340"
"共康三村","2室1厅","66.72","https://sh.ke.com/chengjiao/107110126103.html","2024.08.18","247","37021","南","简装","低楼层(共6层)","1995","板楼","275","49"
"康平小区","1室0厅","35.03","https://sh.ke.com/chengjiao/107109694529.html","2024.08.18","157","44819","南","简装","高楼层(共6层)","1986","板楼","165","101"
"爱建新家园","2室1厅","91.84","https://sh.ke.com/chengjiao/107109878019.html","2024.08.17","560","60976","南","精装","低楼层(共6层)","1999","板楼","618","78"
"三泉公寓","4室2厅","152.74","https://sh.ke.com/chengjiao/107108965025.html","2024.08.17","560","36664","南 北","简装","高楼层(共7层)","1999","板楼","610","207"
"银都二村","2室1厅","56.45","https://sh.ke.com/chengjiao/107110371969.html","2024.08.17","244","43225","南","简装","低楼层(共6层)","1995","板楼","258","19"
"共康三村","1室1厅","35.39","https://sh.ke.com/chengjiao/107110061818.html","2024.08.17","126","35604","南","精装","高楼层(共6层)","1995","板楼","140","56"
"阳景小区","1室1厅","34.71","https://sh.ke.com/chengjiao/107109976325.html","2024.08.17","127","36589","南","简装","高楼层(共6层)","1993","板楼","135","65"
"阳景小区","2室0厅","46.71","https://sh.ke.com/chengjiao/107110443327.html","2024.08.17","190","40677","南","简装","低楼层(共6层)","1993","板楼","198","10"
"共康四村","2室1厅","60.85","https://sh.ke.com/chengjiao/107109855441.html","2024.08.13","197","32375","南","简装","高楼层(共6层)","1995","板楼","206","76"
"星纪花苑","2室1厅","73.92","https://sh.ke.com/chengjiao/107108051044.html","2024.08.13","285","38556","南","精装","低楼层(共15层)","1996","塔楼","330","332"
"保德公寓","1室1厅","39.89","https://sh.ke.com/chengjiao/107108512657.html","2024.08.11","158","39609","南","简装","低楼层(共6层)","1996","板楼","195","268"
"临汾路1564弄","1室1厅","42.29","https://sh.ke.com/chengjiao/107108020472.html","2024.08.07","166.5","39372","南","精装","中楼层(共6层)","1995","板楼","175","331"
"闻喜路251弄","1室0厅","35.94","https://sh.ke.com/chengjiao/107110055505.html","2024.08.05","158","43963","南","精装","低楼层(共6层)","1987","板楼","172","44"
"平顺小区","2室0厅","43.37","https://sh.ke.com/chengjiao/107110391113.html","2024.08.04","207","47729","南","简装","中楼层(共6层)","1986","板楼","212","4"
"保德路1010弄","2室1厅","47.75","https://sh.ke.com/chengjiao/107110078267.html","2024.08.04","215.8","45194","南","精装","中楼层(共4层)","1992","板楼","222","41"
"闻喜小区","1室0厅","31.27","https://sh.ke.com/chengjiao/107110207707.html","2024.08.04","146","46691","南","简装","中楼层(共5层)","1985","板楼","153","25"
"共康四村","1室1厅","50.11","https://sh.ke.com/chengjiao/107108780226.html","2024.08.04","173.5","34624","南 北","精装","高楼层(共6层)","1995","板楼","189","224"
"保平小区","1室0厅","34.13","https://sh.ke.com/chengjiao/107110291753.html","2024.08.03","146","42778","南","简装","低楼层(共6层)","1992","板楼","155","15"
"阳曲小区","1室0厅","30.88","https://sh.ke.com/chengjiao/107108620501.html","2024.08.03","131","42423","南","简装","中楼层(共6层)","1988","板楼","138","245"
"驰骋新苑","1室1厅","39.68","https://sh.ke.com/chengjiao/107109625177.html","2024.08.03","136","34275","南 北","简装","高楼层(共6层)","1994","板楼","146","95"
"闻喜路251弄","1室1厅","38.5","https://sh.ke.com/chengjiao/107110017666.html","2024.08.02","161.5","41949","南","毛坯","低楼层(共6层)","1987","板楼","168","46"
"彭五小区","2室1厅","41.04","https://sh.ke.com/chengjiao/107110360114.html","2024.08.02","233","56774","南","精装","低楼层(共5层)","1973","板楼","242","6"
"阳曲小区","1室1厅","43.96","https://sh.ke.com/chengjiao/107109765753.html","2024.07.30","200","45496","南","简装","中楼层(共6层)","1988","板楼","208","73"
"阳景小区","2室1厅","42.6","https://sh.ke.com/chengjiao/107110280897.html","2024.07.29","183.8","43146","南 北","简装","中楼层(共6层)","1993","板楼","192","11"
"景凤小区","1室1厅","42.94","https://sh.ke.com/chengjiao/107109084621.html","2024.07.29","176","40988","南 北","简装","中楼层(共6层)","1993","板楼","178","157"
"和源名城","1室1厅","55.93","https://sh.ke.com/chengjiao/107107180083.html","2024.07.28","263","47024","南","精装","中楼层(共34层)","2011","板楼","285","433"
"岭南小区","2室1厅","57.91","https://sh.ke.com/chengjiao/107109815887.html","2024.07.28","220","37990","南","简装","高楼层(共6层)","1988","板楼","243","64"
"三泉路424弄","1室1厅","38.21","https://sh.ke.com/chengjiao/107109442762.html","2024.07.27","131.3","34363","南","简装","高楼层(共6层)","1995","板楼","138","111"
"平保小区","1室1厅","41.96","https://sh.ke.com/chengjiao/107109670868.html","2024.07.22","155","36940","南 北","毛坯","高楼层(共6层)","1993","板楼","170","77"
"平保小区","1室1厅","33.14","https://sh.ke.com/chengjiao/107110081759.html","2024.07.21","118","35607","南","毛坯","高楼层(共6层)","1993","板楼","128","26"
"临汾路1105弄","1室0厅","40.91","https://sh.ke.com/chengjiao/107109856432.html","2024.07.21","185","45222","南","精装","中楼层(共6层)","1988","板楼","210","53"
"阳景小区","2室1厅","46.07","https://sh.ke.com/chengjiao/107110200202.html","2024.07.20","195","42327","南","简装","低楼层(共6层)","1989","板楼","213","11"
"共康四村","2室1厅","63.24","https://sh.ke.com/chengjiao/107109878993.html","2024.07.18","268","42379","南","简装","中楼层(共6层)","1995","板楼","280","47"
"共和新路4555弄","1室0厅","32.04","https://sh.ke.com/chengjiao/107109849970.html","2024.07.18","153","47753","南","精装","低楼层(共6层)","1991","板楼","175","50"
"共康四村","1室1厅","37.23","https://sh.ke.com/chengjiao/107109037154.html","2024.07.16","153.6","41258","南","毛坯","中楼层(共6层)","1995","板楼","168","149"
"和源名城","2室1厅","70.78","https://sh.ke.com/chengjiao/107109293287.html","2024.07.16","392.5","55454","南","简装","高楼层(共32层)","2011","板楼","410","120"
"康泉小区","1室1厅","42.07","https://sh.ke.com/chengjiao/107110215273.html","2024.07.15","153","36368","南","精装","高楼层(共6层)","1993","板楼","160","4"
"平顺路875弄","2室1厅","57.29","https://sh.ke.com/chengjiao/107109860310.html","2024.07.14","257.6","44965","南","精装","高楼层(共6层)","1990","板楼","275","45"
"共康三村","1室0厅","35.79","https://sh.ke.com/chengjiao/107110142344.html","2024.07.14","142.8","39900","南","精装","中楼层(共6层)","1995","板楼","158","12"
"共康四村","2室1厅","67.64","https://sh.ke.com/chengjiao/107110108846.html","2024.07.14","297","43909","南","毛坯","中楼层(共6层)","1995","板楼","305","16"
"彭三小区","1室1厅","53.17","https://sh.ke.com/chengjiao/107109680296.html","2024.07.14","262","49276","南 北","简装","高楼层(共18层)","2023","N/A","285","68"
"临汾路1565弄","1室1厅","43.77","https://sh.ke.com/chengjiao/107110148446.html","2024.07.14","152","34727","南","简装","高楼层(共6层)","1994","板楼","165","11"
"三泉路424弄","1室1厅","43.29","https://sh.ke.com/chengjiao/107108127677.html","2024.07.14","158","36499","南 北","毛坯","高楼层(共6层)","1992","板楼","170","293"
"三泉路424弄","1室1厅","43.07","https://sh.ke.com/chengjiao/107109858947.html","2024.07.12","176","40864","南","精装","中楼层(共6层)","1992","板楼","188","44"
"闻喜路1110弄","1室1厅","37.96","https://sh.ke.com/chengjiao/107110020027.html","2024.07.10","175","46102","南","精装","中楼层(共6层)","1987","板楼","185","22"
"共康四村","2室1厅","63.08","https://sh.ke.com/chengjiao/107109341604.html","2024.07.08","242","38364","南","精装","高楼层(共6层)","1995","板楼","265","106"
"和新小区","1室1厅","38.01","https://sh.ke.com/chengjiao/107110023642.html","2024.07.07","167.8","44147","南","简装","中楼层(共6层)","1975","板楼","170","19"
"岭南路100弄","2室1厅","53.54","https://sh.ke.com/chengjiao/107110062319.html","2024.07.07","235","43893","南","毛坯","中楼层(共6层)","1988","板楼","240","15"
"和新小区","2室1厅","51.65","https://sh.ke.com/chengjiao/107109950796.html","2024.07.07","250","48403","南 北","简装","中楼层(共6层)","1982","板楼","270","28"
"驰骋新苑","2室1厅","57.31","https://sh.ke.com/chengjiao/107109950612.html","2024.07.07","286.5","49992","南","精装","低楼层(共6层)","1995","板楼","298","28"
"临汾路1564弄","2室1厅","55.47","https://sh.ke.com/chengjiao/107109219219.html","2024.07.07","255","45971","南","精装","中楼层(共6层)","1995","板楼","275","120"
"平保小区","2室1厅","53.67","https://sh.ke.com/chengjiao/107109186988.html","2024.07.07","199","37079","南 北","精装","高楼层(共6层)","1993","板楼","210","123"
"共康四村","2室1厅","53.48","https://sh.ke.com/chengjiao/107109939185.html","2024.07.06","245","45812","南","精装","低楼层(共6层)","1995","板楼","265","29"
"阳景小区","2室1厅","46.87","https://sh.ke.com/chengjiao/107109968232.html","2024.07.02","173","36911","南","其他","高楼层(共6层)","1993","板楼","180","21"
"保德路425弄","1室1厅","41.16","https://sh.ke.com/chengjiao/107110097170.html","2024.07.01","153","37173","南","精装","高楼层(共6层)","1987","板楼","165","5"
"彭新小区","1室0厅","30.7","https://sh.ke.com/chengjiao/107108869137.html","2024.07.01","156","50815","南","精装","低楼层(共6层)","1984","板楼","160","177"
"保德公寓","1室1厅","40.22","https://sh.ke.com/chengjiao/107109991176.html","2024.07.01","175","43511","南 北","精装","低楼层(共6层)","1997","板楼","185","17"
"临汾路1515弄","1室1厅","42.61","https://sh.ke.com/chengjiao/107107988644.html","2024.06.30","154","36142","南","简装","高楼层(共6层)","1995","板塔结合","168","297"
"和源名城","2室1厅","79.81","https://sh.ke.com/chengjiao/107109952414.html","2024.06.30","418.7","52463","南","精装","中楼层(共32层)","2011","板楼","445","20"
"阳曲路650弄","1室1厅","41","https://sh.ke.com/chengjiao/107109850866.html","2024.06.30","168","40976","南","精装","低楼层(共6层)","1994","板楼","183","32"
"临汾名城南区(临汾路80弄/87弄)","3室2厅","121.45","https://sh.ke.com/chengjiao/107109898749.html","2024.06.29","810","66695","南 北","简装","中楼层(共14层)","2004","板楼","860","26"
"星保花苑","2室1厅","71.54","https://sh.ke.com/chengjiao/107109357381.html","2024.06.29","319","44591","南","简装","高楼层(共13层)","1994","板楼","350","95"
"保德路425弄","1室1厅","28.65","https://sh.ke.com/chengjiao/107109956107.html","2024.06.28","122","42583","南","简装","低楼层(共6层)","1989","板楼","128","18"
"临汾路1320弄","1室0厅","32.47","https://sh.ke.com/chengjiao/107109861232.html","2024.06.27","143","44041","南","简装","中楼层(共6层)","1995","板楼","162","28"
"岭南公寓","2室2厅","93.01","https://sh.ke.com/chengjiao/107109918268.html","2024.06.25","475","51070","南","简装","低楼层(共6层)","1998","板楼","520","20"
"彭三小区","1室1厅","52.73","https://sh.ke.com/chengjiao/107109558062.html","2024.06.24","270","51205","南","精装","低楼层(共18层)","2023","N/A","292","64"
"恒安小区","2室1厅","55.34","https://sh.ke.com/chengjiao/107109431677.html","2024.06.23","235","42465","东 南","简装","中楼层(共6层)","1988","板楼","242","79"
"彭顺小区","1室1厅","47.44","https://sh.ke.com/chengjiao/107110056212.html","2024.06.23","187.5","39524","南","精装","高楼层(共6层)","1994","板楼","199","1"
"共和新路4555弄","1室0厅","32.04","https://sh.ke.com/chengjiao/107109962614.html","2024.06.22","151","47129","南","精装","高楼层(共6层)","1992","板楼","159","11"
"和源名城","2室1厅","56.82","https://sh.ke.com/chengjiao/107110050332.html","2024.06.22","263","46287","南","精装","中楼层(共34层)","2011","板楼","298","1"
"阳曲小区","2室1厅","56.4","https://sh.ke.com/chengjiao/107109558119.html","2024.06.21","257","45568","南","精装","低楼层(共6层)","1987","板楼","269","61"
"三泉家园","2室2厅","90.96","https://sh.ke.com/chengjiao/107106686786.html","2024.06.21","479.5","52716","南","精装","高楼层(共6层)","2002","板楼","500","468"
"曲沃路35弄","1室0厅","40.87","https://sh.ke.com/chengjiao/107109895672.html","2024.06.20","148","36213","南","毛坯","中楼层(共6层)","1995","板楼","163","18"
"彭新小区","2室1厅","51.39","https://sh.ke.com/chengjiao/107109493367.html","2024.06.19","242.5","47189","南 北","精装","高楼层(共6层)","1984","板楼","256","68"
"岭南路700弄","2室1厅","55.43","https://sh.ke.com/chengjiao/107109223826.html","2024.06.19","240","43298","南 北","精装","高楼层(共6层)","1989","板楼","248","101"
"彭五小区","2室0厅","43.91","https://sh.ke.com/chengjiao/107109634995.html","2024.06.18","216","49192","南","精装","中楼层(共5层)","1976","板楼","224","47"
"银都二村","2室1厅","56.86","https://sh.ke.com/chengjiao/107108278685.html","2024.06.18","248","43616","南","精装","中楼层(共6层)","1995","板楼","258","245"
"景凤小区","1室1厅","45.18","https://sh.ke.com/chengjiao/107108798885.html","2024.06.18","187","41390","南","简装","低楼层(共6层)","1995","板楼","205","174"
"保德路1010弄","1室1厅","45.45","https://sh.ke.com/chengjiao/107109512232.html","2024.06.17","190","41805","南","简装","高楼层(共6层)","1992","板楼","200","63"
"三泉路424弄","1室1厅","45.02","https://sh.ke.com/chengjiao/107107260920.html","2024.06.16","149","33097","南","简装","高楼层(共6层)","1992","板楼","170","380"
"兴泉小区","1室1厅","49.73","https://sh.ke.com/chengjiao/107109056894.html","2024.06.16","174","34989","南","简装","高楼层(共6层)","1996","板楼","179","117"
"岭南路700弄","1室0厅","22.93","https://sh.ke.com/chengjiao/107108609583.html","2024.06.16","99","43175","南","简装","高楼层(共6层)","1989","板楼","110","199"
"保德路1010弄","1室1厅","35.21","https://sh.ke.com/chengjiao/107109805373.html","2024.06.16","138","39194","南","简装","高楼层(共6层)","1992","板楼","152","24"
"岭南路700弄","1室0厅","26.55","https://sh.ke.com/chengjiao/107109221766.html","2024.06.16","113","42562","南","简装","高楼层(共6层)","1989","板楼","126","98"
"阳曲路650弄","1室1厅","41","https://sh.ke.com/chengjiao/107108457929.html","2024.06.14","157","38293","南","简装","中楼层(共6层)","1994","板楼","173","218"
"保德路1010弄","1室0厅","37.12","https://sh.ke.com/chengjiao/107109851946.html","2024.06.14","141","37985","南","精装","高楼层(共6层)","1992","板楼","149","16"
"闻喜路1223弄","1室1厅","37.49","https://sh.ke.com/chengjiao/107108861750.html","2024.06.14","163.8","43692","南","精装","中楼层(共6层)","1990","板楼","165","160"
"驰骋新苑","1室1厅","35.7","https://sh.ke.com/chengjiao/107109389602.html","2024.06.12","136.5","38236","南","毛坯","低楼层(共6层)","1995","板楼","145","74"
"彭新小区","1室0厅","28.03","https://sh.ke.com/chengjiao/107109530648.html","2024.06.11","140","49947","南","简装","高楼层(共6层)","1985","板楼","147","55"
"平保小区","1室1厅","34.09","https://sh.ke.com/chengjiao/107109929944.html","2024.06.11","155","45468","南","精装","低楼层(共6层)","1993","板楼","170","4"
"共康三村","1室1厅","41.65","https://sh.ke.com/chengjiao/107109792189.html","2024.06.11","188.8","45331","南","精装","中楼层(共6层)","1995","板楼","198","21"
"岭南路270弄","1室1厅","45.61","https://sh.ke.com/chengjiao/107109381847.html","2024.06.11","193","42316","南","简装","高楼层(共6层)","1985","板楼","210","74"
"景凤小区","1室1厅","45.22","https://sh.ke.com/chengjiao/107108546511.html","2024.06.09","151","33393","南","简装","高楼层(共6层)","1994","板楼","165","200"
"闻喜小区","2室0厅","51.58","https://sh.ke.com/chengjiao/107109683855.html","2024.06.08","234","45367","南 北","简装","中楼层(共5层)","1985","板楼","242","31"
"阳曲路570弄","2室0厅","40.95","https://sh.ke.com/chengjiao/107109099958.html","2024.06.08","200","48841","南 北","精装","低楼层(共5层)","1992","板楼","210","104"
"三泉路332弄","1室1厅","44.95","https://sh.ke.com/chengjiao/107109762389.html","2024.06.06","180","40045","南","精装","中楼层(共6层)","1991","板楼","183","20"
"临汾小区","1室1厅","43.35","https://sh.ke.com/chengjiao/107109338183.html","2024.06.04","195","44983","南","简装","高楼层(共6层)","1988","板楼","220","73"
"共康四村","2室1厅","63.08","https://sh.ke.com/chengjiao/107109894542.html","2024.06.04","268","42486","南 北","简装","中楼层(共6层)","1995","板楼","280","2"
"阳曲路570弄","2室0厅","41.57","https://sh.ke.com/chengjiao/107109618286.html","2024.06.04","205","49315","南","简装","低楼层(共4层)","1992","板楼","215","37"
"三泉路332弄","2室1厅","58.79","https://sh.ke.com/chengjiao/107109288395.html","2024.06.04","258.5","43971","南","简装","高楼层(共6层)","1990","板楼","270","79"
"昌林公寓","1室1厅","50.17","https://sh.ke.com/chengjiao/107109117549.html","2024.06.04","188","37473","南","简装","高楼层(共6层)","1996","板楼","200","97"
"和源名城","1室2厅","60.15","https://sh.ke.com/chengjiao/107109827989.html","2024.06.03","255","42395","南","精装","高楼层(共34层)","2014","板楼","280","8"
"康平小区","1室1厅","30.27","https://sh.ke.com/chengjiao/107109554501.html","2024.06.03","139","45921","南","简装","中楼层(共6层)","1984","板楼","150","44"
"恒安小区","2室1厅","70.3","https://sh.ke.com/chengjiao/107109816223.html","2024.06.03","325","46231","南 北","简装","高楼层(共14层)","1990","塔楼","345","9"
"临汾名城南区(临汾路80弄/87弄)","3室1厅","114.54","https://sh.ke.com/chengjiao/107108908492.html","2024.06.02","720","62861","南","简装","低楼层(共14层)","2004","板楼","760","142"
"汾西小区","3室1厅","63.92","https://sh.ke.com/chengjiao/107109718069.html","2024.06.02","281","43962","南","精装","中楼层(共4层)","1991","板楼","320","21"
"临汾路1565弄","1室1厅","40.52","https://sh.ke.com/chengjiao/107109223472.html","2024.06.02","142","35045","南","简装","高楼层(共6层)","1994","板楼","149","84"
"彭五小区","2室1厅","52.03","https://sh.ke.com/chengjiao/107109205971.html","2024.06.02","210","40362","南","精装","高楼层(共6层)","1985","板楼","220","86"
"和源名城","2室2厅","81.09","https://sh.ke.com/chengjiao/107109826207.html","2024.06.01","425","52411","南","精装","中楼层(共34层)","2014","板楼","435","6"
"岭南路270弄","2室1厅","60.79","https://sh.ke.com/chengjiao/107109235852.html","2024.05.29","288","47377","南","精装","中楼层(共5层)","1982","板楼","310","79"
"平顺小区","1室0厅","27.66","https://sh.ke.com/chengjiao/107107915887.html","2024.05.28","129","46638","南","精装","高楼层(共6层)","1985","板楼","135","271"
"共康四村","1室1厅","50.11","https://sh.ke.com/chengjiao/107108923304.html","2024.05.27","221","44103","南","精装","中楼层(共6层)","1997","板楼","239","133"
"保德路425弄","1室1厅","41.18","https://sh.ke.com/chengjiao/107108976843.html","2024.05.27","152","36912","南","简装","高楼层(共6层)","1987","板楼","160","122"
"彭三小区","2室0厅","59.32","https://sh.ke.com/chengjiao/107109496042.html","2024.05.26","323","54451","南","简装","低楼层(共18层)","2023","板楼","360","43"
"彭新小区","1室1厅","29.47","https://sh.ke.com/chengjiao/107109572635.html","2024.05.26","137","46488","南","精装","高楼层(共6层)","1984","板楼","142","33"
"场中小区","1室0厅","35.21","https://sh.ke.com/chengjiao/107109411400.html","2024.05.26","130","36922","南","简装","高楼层(共7层)","1995","板楼","130","54"
"岭南路700弄","1室1厅","27.75","https://sh.ke.com/chengjiao/107108678549.html","2024.05.26","122.5","44145","南","精装","高楼层(共6层)","1989","板楼","128","168"
"平保小区","2室1厅","60.19","https://sh.ke.com/chengjiao/107109696366.html","2024.05.25","248.5","41286","南","简装","中楼层(共6层)","1991","板楼","265","16"
"兴泉小区","1室1厅","41.59","https://sh.ke.com/chengjiao/107109162531.html","2024.05.25","166","39914","南","精装","高楼层(共6层)","1995","板楼","180","83"
"岭南路270弄","1室1厅","43.43","https://sh.ke.com/chengjiao/107108281128.html","2024.05.25","171.5","39489","南","精装","高楼层(共6层)","1990","板楼","175","221"
"共康四村","2室1厅","76.92","https://sh.ke.com/chengjiao/107108873184.html","2024.05.24","278.5","36207","南","精装","高楼层(共6层)","1995","板楼","300","138"
"星纪花苑","2室1厅","74.25","https://sh.ke.com/chengjiao/107108808415.html","2024.05.24","309","41617","南 北","简装","高楼层(共6层)","1995","板楼","335","148"
"彭顺小区","2室1厅","61.37","https://sh.ke.com/chengjiao/107108966455.html","2024.05.23","233","37967","南","简装","高楼层(共6层)","1977","板楼","258","120"
"平顺小区","2室1厅","43.37","https://sh.ke.com/chengjiao/107109489099.html","2024.05.20","201.8","46530","南","简装","高楼层(共6层)","1986","板楼","208","38"
"闻喜路1223弄","1室1厅","34.31","https://sh.ke.com/chengjiao/107109664915.html","2024.05.19","145.2","42321","南","简装","高楼层(共6层)","1990","板楼","150","14"
"共康四村","2室1厅","63.48","https://sh.ke.com/chengjiao/107109279090.html","2024.05.19","259","40801","南","其他","低楼层(共6层)","1995","板楼","270","64"
"闻喜路609号","2室1厅","57.19","https://sh.ke.com/chengjiao/107107834254.html","2024.05.19","277.5","48523","南","其他","高楼层(共7层)","1996","板楼","320","273"
"闻喜小区","1室0厅","30.11","https://sh.ke.com/chengjiao/107109719274.html","2024.05.18","147.5","48988","南","精装","低楼层(共6层)","1985","板楼","152","6"
"阳景小区","1室1厅","35.42","https://sh.ke.com/chengjiao/107109538185.html","2024.05.17","116","32750","南","毛坯","中楼层(共6层)","1993","板楼","130","28"
"临汾花园","2室1厅","74.65","https://sh.ke.com/chengjiao/107108222439.html","2024.05.13","318","42599","南","精装","高楼层(共6层)","1997","板楼","368","217"
"和源名城","2室1厅","73.03","https://sh.ke.com/chengjiao/107107814563.html","2024.05.13","388","53129","南 北","简装","中楼层(共34层)","2011","板楼","410","270"
"彭新小区","1室0厅","29.61","https://sh.ke.com/chengjiao/107109234664.html","2024.05.12","146.6","49511","南","简装","中楼层(共6层)","1984","板楼","155","62"
"临汾花园","2室1厅","70.16","https://sh.ke.com/chengjiao/107108928837.html","2024.05.12","305","43473","南","简装","高楼层(共6层)","1997","板楼","345","116"
"闻喜小区","2室1厅","47.45","https://sh.ke.com/chengjiao/107108265048.html","2024.05.11","220","46365","南","简装","高楼层(共6层)","1985","板楼","235","209"
"岭南路100弄","2室1厅","37.88","https://sh.ke.com/chengjiao/107108885444.html","2024.05.06","162","42767","南 北","精装","高楼层(共6层)","1987","板楼","176","117"
"岭南路100弄","2室0厅","45.84","https://sh.ke.com/chengjiao/107109656538.html","2024.05.05","185","40358","南","精装","高楼层(共6层)","1990","板楼","185","1"
"阳曲小区","2室1厅","55.06","https://sh.ke.com/chengjiao/107109004085.html","2024.05.04","263","47767","南","精装","低楼层(共6层)","1989","板楼","270","92"
"平顺小区","1室1厅","34.43","https://sh.ke.com/chengjiao/107108382488.html","2024.05.01","160","46472","南","精装","低楼层(共6层)","1982","板楼","172","184"
"保德路425弄","2室1厅","61.57","https://sh.ke.com/chengjiao/107109544751.html","2024.04.28","273","44340","南","简装","低楼层(共6层)","1988","板楼","288","9"
"岭南路270弄","1室0厅","37.16","https://sh.ke.com/chengjiao/107109256504.html","2024.04.27","162","43596","南","精装","中楼层(共6层)","1990","板楼","165","44"
"恒安小区","2室1厅","65.96","https://sh.ke.com/chengjiao/107109450345.html","2024.04.25","310","46999","南","简装","中楼层(共14层)","1990","塔楼","335","18"
"闻喜路251弄","1室0厅","34.8","https://sh.ke.com/chengjiao/107108521674.html","2024.04.25","151","43391","南","简装","中楼层(共6层)","1987","板楼","165","159"
"阳曲路470弄","2室1厅","45.9","https://sh.ke.com/chengjiao/107108953902.html","2024.04.24","206","44881","南","简装","低楼层(共6层)","1992","板楼","220","95"
"保德公寓","3室2厅","108.34","https://sh.ke.com/chengjiao/107109123855.html","2024.04.23","425","39229","南","简装","高楼层(共6层)","1997","板楼","465","54"
"岭南小区","2室1厅","57.91","https://sh.ke.com/chengjiao/107109525432.html","2024.04.21","251.5","43430","南","毛坯","高楼层(共6层)","1988","板楼","265","4"
"绿泉公寓","2室1厅","90.67","https://sh.ke.com/chengjiao/107109139330.html","2024.04.20","555.5","61267","南","精装","高楼层(共6层)","2001","板楼","600","50"
"共康四村","1室1厅","37.23","https://sh.ke.com/chengjiao/107109058033.html","2024.04.20","163","43782","南","简装","高楼层(共6层)","1995","板楼","177","59"
"共康四村","2室1厅","63.12","https://sh.ke.com/chengjiao/107109415750.html","2024.04.19","301","47687","南","精装","高楼层(共6层)","1995","板楼","320","17"
"康平小区","2室0厅","33.34","https://sh.ke.com/chengjiao/107109492649.html","2024.04.17","158","47391","南","精装","低楼层(共6层)","1987","板楼","170","4"
"和源名城","2室1厅","60.15","https://sh.ke.com/chengjiao/107106461296.html","2024.04.17","276","45886","南","精装","中楼层(共34层)","2014","板楼","288","431"
"共康四村","2室1厅","63.24","https://sh.ke.com/chengjiao/107108758784.html","2024.04.16","285","45067","南 北","简装","高楼层(共6层)","1995","板楼","310","117"
"景凤路380弄","1室1厅","41.42","https://sh.ke.com/chengjiao/107108157247.html","2024.04.15","150","36215","南","简装","中楼层(共6层)","1992","板楼","175","199"
"康平小区","1室1厅","35.03","https://sh.ke.com/chengjiao/107109204988.html","2024.04.14","165","47103","南","精装","高楼层(共6层)","1986","板楼","180","37"
"临汾小区","1室1厅","43.24","https://sh.ke.com/chengjiao/107108280076.html","2024.04.14","210","48567","南","简装","高楼层(共6层)","1987","板楼","220","180"
"昌林公寓","2室1厅","71.25","https://sh.ke.com/chengjiao/107109333800.html","2024.04.14","314","44071","南 北","精装","中楼层(共6层)","1996","板楼","358","22"
"三泉家园","2室1厅","93.1","https://sh.ke.com/chengjiao/107109421247.html","2024.04.13","537.5","57734","南","精装","中楼层(共6层)","2002","板楼","580","9"
"银都一村","1室1厅","34.16","https://sh.ke.com/chengjiao/107109174070.html","2024.04.12","138","40399","南","精装","高楼层(共6层)","1995","板楼","156","39"
"阳曲小区","1室1厅","44.08","https://sh.ke.com/chengjiao/107109441664.html","2024.04.10","213.9","48526","南","简装","低楼层(共6层)","1988","板楼","220","3"
"三泉路332弄","1室1厅","43.98","https://sh.ke.com/chengjiao/107109204106.html","2024.04.06","179","40701","南","毛坯","低楼层(共6层)","1990","板楼","199","29"
"保德路425弄","1室1厅","39.3","https://sh.ke.com/chengjiao/107108360250.html","2024.04.06","172","43766","南","简装","低楼层(共6层)","1988","板楼","179","162"
