小区名称,户型,面积(㎡),详情链接,成交日期,成交总价(万),成交单价(元/平),朝向,装修,楼层信息,建成年代,房屋结构,挂牌价(万),成交周期(天)
"航鹰小区","1室0厅","31.4","https://sh.ke.com/chengjiao/107111334419.html","2024.11.19","137","43631","南","简装","中楼层(共5层)","1986","板楼","140","6"
"场中路2471弄","2室1厅","47.16","https://sh.ke.com/chengjiao/107110934500.html","2024.11.19","206","43682","南","简装","低楼层(共6层)","1990","板楼","225","52"
"共康四村","2室1厅","72.68","https://sh.ke.com/chengjiao/107109929766.html","2024.11.18","316.8","43589","南","精装","低楼层(共6层)","1995","板楼","345","165"
"兴泉小区","1室1厅","41","https://sh.ke.com/chengjiao/107110447005.html","2024.11.17","157.5","38415","南","简装","中楼层(共6层)","1996","板楼","165","103"
"平保小区","1室0厅","35.44","https://sh.ke.com/chengjiao/107110071050.html","2024.11.17","143","40350","南","精装","低楼层(共6层)","1993","板楼","148","147"
"曲沃路79弄","2室1厅","58","https://sh.ke.com/chengjiao/107110171700.html","2024.11.17","261","45000","南","精装","高楼层(共6层)","1994","板楼","280","135"
"阳曲小区","1室1厅","44.42","https://sh.ke.com/chengjiao/107110791010.html","2024.11.17","192","43224","南","精装","高楼层(共6层)","1988","板楼","200","67"
"驰骋新苑","1室1厅","41.6","https://sh.ke.com/chengjiao/107111351839.html","2024.11.17","144","34616","南 北","其他","低楼层(共6层)","1994","板楼","155","2"
"曲沃路255弄","2室1厅","58.58","https://sh.ke.com/chengjiao/107110794772.html","2024.11.16","248","42336","东南 南","简装","中楼层(共7层)","1993","板楼","260","66"
"彭三小区","1室0厅","53.24","https://sh.ke.com/chengjiao/107109424462.html","2024.11.16","251","47146","南","毛坯","低楼层(共18层)","2023","N/A","265","226"
"星阳苑","2室1厅","83.15","https://sh.ke.com/chengjiao/107109032999.html","2024.11.16","372","44739","南","精装","高楼层(共6层)","2003","板楼","405","272"
"临汾路1320弄","2室1厅","43.54","https://sh.ke.com/chengjiao/107107200861.html","2024.11.16","187","42950","南","精装","中楼层(共6层)","1995","板楼","198","541"
"兴泉小区","2室1厅","64.65","https://sh.ke.com/chengjiao/107110931511.html","2024.11.16","215","33256","南","精装","高楼层(共6层)","1995","板楼","228","49"
"康泉小区","1室1厅","42.53","https://sh.ke.com/chengjiao/107111259691.html","2024.11.14","154.5","36328","南","简装","中楼层(共6层)","1995","板楼","170","10"
"阳曲小区","1室1厅","44.06","https://sh.ke.com/chengjiao/107108904283.html","2024.11.14","154.8","35134","南","精装","高楼层(共6层)","1988","板楼","169","307"
"临汾路1564弄","1室1厅","36.36","https://sh.ke.com/chengjiao/107111108459.html","2024.11.11","123","33829","南","毛坯","高楼层(共6层)","1995","板楼","138","25"
"恒安小区","2室1厅","70.3","https://sh.ke.com/chengjiao/107111017762.html","2024.11.11","280","39830","南","精装","低楼层(共14层)","1990","塔楼","290","32"
"共康四村","2室1厅","59.18","https://sh.ke.com/chengjiao/107108394251.html","2024.11.11","218","36837","南","简装","高楼层(共6层)","1995","板楼","230","376"
"临汾路1564弄","1室1厅","34.07","https://sh.ke.com/chengjiao/107110814323.html","2024.11.10","151","44321","南","精装","低楼层(共6层)","1995","板楼","160","57"
"临汾名城北区(汾西路88弄)","2室2厅","91.91","https://sh.ke.com/chengjiao/107110297500.html","2024.11.09","634","68981","南","精装","中楼层(共13层)","2006","板楼","650","112"
"闻喜路1110弄","1室1厅","37.96","https://sh.ke.com/chengjiao/107110845949.html","2024.11.09","146","38462","南","简装","高楼层(共6层)","1987","板楼","152","52"
"平顺路941弄","1室1厅","36.1","https://sh.ke.com/chengjiao/107110506374.html","2024.11.09","130","36012","南","简装","高楼层(共6层)","1995","板楼","139","87"
